tanggal,komoditi,satuan,harga
2020-07-24,Ayam Kampung,ekor,80000
2020-07-27,Ayam Kampung,ekor,78500
2020-07-28,Ayam Kampung,ekor,78500
2020-07-29,Ayam Kampung,ekor,78500
2020-07-30,Ayam Kampung,ekor,78500
2020-07-01,Telur Ayam Ras,kg,26000
2020-07-02,Telur Ayam Ras,kg,25800
2020-07-03,Telur Ayam Ras,kg,25400
2020-07-06,Telur Ayam Ras,kg,25600
2020-07-07,Telur Ayam Ras,kg,25400
2020-07-08,Telur Ayam Ras,kg,25800
2020-07-09,Telur Ayam Ras,kg,25500
2020-07-10,Telur Ayam Ras,kg,25600
2020-07-13,Telur Ayam Ras,kg,26000
2020-07-14,Telur Ayam Ras,kg,26400
2020-07-15,Telur Ayam Ras,kg,26600
2020-07-16,Telur Ayam Ras,kg,26200
2020-07-17,Telur Ayam Ras,kg,26400
2020-07-20,Telur Ayam Ras,kg,26200
2020-07-21,Telur Ayam Ras,kg,25800
2020-07-22,Telur Ayam Ras,kg,25900
2020-07-23,Telur Ayam Ras,kg,26200
2020-07-24,Telur Ayam Ras,kg,26000
2020-07-27,Telur Ayam Ras,kg,26200
2020-07-28,Telur Ayam Ras,kg,26000
2020-07-29,Telur Ayam Ras,kg,26100
2020-07-30,Telur Ayam Ras,kg,26100
2020-07-01,Telur Ayam Kampung,butir,2600
2020-07-02,Telur Ayam Kampung,butir,2600
2020-07-03,Telur Ayam Kampung,butir,2500
2020-07-06,Telur Ayam Kampung,butir,2500
2020-07-07,Telur Ayam Kampung,butir,2500
2020-07-08,Telur Ayam Kampung,butir,2500
2020-07-09,Telur Ayam Kampung,butir,2400
2020-07-10,Telur Ayam Kampung,butir,2500
2020-07-13,Telur Ayam Kampung,butir,2500
2020-07-14,Telur Ayam Kampung,butir,2500
2020-07-15,Telur Ayam Kampung,butir,2500
2020-07-16,Telur Ayam Kampung,butir,2500
2020-07-17,Telur Ayam Kampung,butir,2500
2020-07-20,Telur Ayam Kampung,butir,2500
2020-07-21,Telur Ayam Kampung,butir,2400
2020-07-22,Telur Ayam Kampung,butir,2450
2020-07-23,Telur Ayam Kampung,butir,2490
2020-07-24,Telur Ayam Kampung,butir,2490
2020-07-27,Telur Ayam Kampung,butir,2440
2020-07-28,Telur Ayam Kampung,butir,2440
2020-07-29,Telur Ayam Kampung,butir,2440
2020-07-30,Telur Ayam Kampung,butir,2340
2020-07-01,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10600
2020-07-02,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10800
2020-07-03,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,11000
2020-07-06,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10600
2020-07-07,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10600
2020-07-08,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10400
2020-07-09,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10800
2020-07-10,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,11200
2020-07-13,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10800
2020-07-14,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10900
2020-07-15,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10700
2020-07-16,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10800
2020-07-17,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,11000
2020-07-20,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10800
2020-07-21,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,11000
2020-07-22,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10450
2020-07-23,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10800
2020-07-24,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10400
2020-07-27,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,11200
2020-07-28,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,11000
2020-07-29,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,10900
2020-07-30,Susu Kental Manis (Kaleng) :Merk Bendera,397 gr,11000
2020-07-01,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9400
2020-07-02,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9200
2020-07-03,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,10100
2020-07-06,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9700
2020-07-07,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9700
2020-07-08,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9900
2020-07-09,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9900
2020-07-10,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,10300
2020-07-13,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9400
2020-07-14,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9200
2020-07-15,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9400
2020-07-16,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9100
2020-07-17,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9200
2020-07-20,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9200
2020-07-21,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9200
2020-07-22,Susu Kental Manis (Kaleng) :Merk Indomilk,397 gr,9200
